1141.[ 146] x8C230004 ldi	g1=524252 g3=10 4
1142.[ 147] x46A00006 fmov	f0=4B0000FA f21=43820000
1143.[ 148] x40210004 subi	g1=524252 g1=524252 4
1144.[ 149] xC000009A call	9a

1145.[  9a] x08000079 jmp	79
1146.[  79] x20030000 addi	g0=0 g3=48 0
1147.[  7a] xC4610000 fldi	f1=437A0000 g3=0 0
1148.[  7b] xE8200006 fjlt	f1=00000000 f0=43820000 6
1149.[  81] xC000002A call	2a
114a.[  2a] x44000806 fmov	f1=00000000 f0=43820000
114b.[  2b] x20030000 addi	g0=0 g3=0 0
114c.[  2c] xC4640000 fldi	f4=00000000 g3=0 0
114d.[  2d] xE8800015 fjlt	f4=00000000 f0=43820000 15
114e.[  42] x20030010 addi	g0=0 g3=0 16
114f.[  43] xC4620000 fldi	f2=4B000000 g3=16 0
1150.[  44] xE8020003 fjlt	f0=43820000 f2=4B000000 3
1151.[  47] x44000806 fmov	f1=43820000 f0=43820000
1152.[  48] x44020000 fadd	f0=260.0000000000 f0=260.0000000000 f2=8388608.0000000000
1153.[  49] xE4200000 fsti	f0=4B000104 g1=524240 0
1154.[  4a] x8C240000 ldi	g1=524240 g4=0 0
1155.[  4b] x44020001 fsub	f0=8388868.0000000000 f0=8388868.0000000000 f2=8388608.0000000000
1156.[  4c] xE4200000 fsti	f0=43820000 g1=524240 0
1157.[  4d] x8C240000 ldi	g1=524240 g4=1258291460 0
1158.[  4e] xE8010005 fjlt	f0=43820000 f1=43820000 5
1159.[  4f] xC8010004 fjeq	f0=43820000 f1=43820000 4
115a.[  53] xE0000000 return
115b.[  82] x20040010 addi	g0=0 g4=1132593152 16
115c.[  83] xC4820000 fldi	f2=4B000000 g4=16 0
115d.[  84] x20040014 addi	g0=0 g4=16 20
115e.[  85] x8C840000 ldi	g4=20 g4=20 0
115f.[  86] xE8400007 fjlt	f2=4B000000 f0=43820000 7
1160.[  87] xC8400006 fjeq	f2=4B000000 f0=43820000 6
1161.[  88] x44020000 fadd	f0=260.0000000000 f0=260.0000000000 f2=8388608.0000000000
1162.[  89] xE4200000 fsti	f0=4B000104 g1=524244 0
1163.[  8a] x8C230000 ldi	g1=524244 g3=16 0
1164.[  8b] x00641822 sub	g3=1258291460 g3=1258291460 g4=1258291200
1165.[  8c] xE0000000 return
1166.[ 14a] x20680000 addi	g3=260 g8=50 0
1167.[ 14b] xC0000193 call	193
1168.[ 193] x690000C4 jlt	g8=260 g0=0 c4
1169.[ 194] x3CE005F5 mvhi	g7=10 1525
116a.[ 195] x1CE0E100 mvlo	g7=99942410 -7936
116b.[ 196] x20050000 addi	g0=0 g5=1 0
116c.[ 197] x20060003 addi	g0=0 g6=10 3
116d.[ 198] xAC280000 sti	g1=524244 g8=260 0
116e.[ 199] x40210008 subi	g1=524244 g1=524244 8
116f.[ 19a] xC0000184 call	184
1170.[ 184] x00A61820 add	g3=260 g5=0 g6=3
1171.[ 185] xA8640001 srli	g3=3 g4=1258291200 1
1172.[ 186] x00874818 mul	g9=50 g4=1 g7=100000000
1173.[ 187] x00C51822 sub	g3=3 g6=3 g5=0
1174.[ 188] x6B830003 jlt	g28=1 g3=3 3
1175.[ 18b] x69280006 jlt	g9=100000000 g8=260 6
1176.[ 18c] x49280003 jne	g9=100000000 g8=260 3
1177.[ 18f] x20860000 addi	g4=1 g6=3 0
1178.[ 190] x08000184 jmp	184
1179.[ 184] x00A61820 add	g3=3 g5=0 g6=1
117a.[ 185] xA8640001 srli	g3=1 g4=1 1
117b.[ 186] x00874818 mul	g9=100000000 g4=0 g7=100000000
117c.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
117d.[ 188] x6B830003 jlt	g28=1 g3=1 3
117e.[ 189] x20A30000 addi	g5=0 g3=1 0
117f.[ 18a] xE0000000 return
1180.[ 19b] x20210008 addi	g1=524236 g1=524236 8
1181.[ 19c] x3C8005F5 mvhi	g4=0 1525
1182.[ 19d] x1C80E100 mvlo	g4=99942400 -7936
1183.[ 19e] x00642018 mul	g4=100000000 g3=0 g4=100000000
1184.[ 19f] x8C280000 ldi	g1=524244 g8=260 0
1185.[ 1a0] x01044022 sub	g8=260 g8=260 g4=0
1186.[ 1a1] x68030003 jlt	g0=0 g3=0 3
1187.[ 1a2] x200A0000 addi	g0=0 g10=1 0
1188.[ 1a3] x080001A8 jmp	1a8
1189.[ 1a8] x3CE00098 mvhi	g7=100000000 152
118a.[ 1a9] x1CE09680 mvlo	g7=10019072 -27008
118b.[ 1aa] x20050000 addi	g0=0 g5=0 0
118c.[ 1ab] x2006000A addi	g0=0 g6=1 10
118d.[ 1ac] xAC280004 sti	g1=524244 g8=260 4
118e.[ 1ad] x4021000C subi	g1=524244 g1=524244 12
118f.[ 1ae] xC0000184 call	184
1190.[ 184] x00A61820 add	g3=0 g5=0 g6=10
1191.[ 185] xA8640001 srli	g3=10 g4=0 1
1192.[ 186] x00874818 mul	g9=0 g4=5 g7=10000000
1193.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
1194.[ 188] x6B830003 jlt	g28=1 g3=10 3
1195.[ 18b] x69280006 jlt	g9=50000000 g8=260 6
1196.[ 18c] x49280003 jne	g9=50000000 g8=260 3
1197.[ 18f] x20860000 addi	g4=5 g6=10 0
1198.[ 190] x08000184 jmp	184
1199.[ 184] x00A61820 add	g3=10 g5=0 g6=5
119a.[ 185] xA8640001 srli	g3=5 g4=5 1
119b.[ 186] x00874818 mul	g9=50000000 g4=2 g7=10000000
119c.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
119d.[ 188] x6B830003 jlt	g28=1 g3=5 3
119e.[ 18b] x69280006 jlt	g9=20000000 g8=260 6
119f.[ 18c] x49280003 jne	g9=20000000 g8=260 3
11a0.[ 18f] x20860000 addi	g4=2 g6=5 0
11a1.[ 190] x08000184 jmp	184
11a2.[ 184] x00A61820 add	g3=5 g5=0 g6=2
11a3.[ 185] xA8640001 srli	g3=2 g4=2 1
11a4.[ 186] x00874818 mul	g9=20000000 g4=1 g7=10000000
11a5.[ 187] x00C51822 sub	g3=2 g6=2 g5=0
11a6.[ 188] x6B830003 jlt	g28=1 g3=2 3
11a7.[ 18b] x69280006 jlt	g9=10000000 g8=260 6
11a8.[ 18c] x49280003 jne	g9=10000000 g8=260 3
11a9.[ 18f] x20860000 addi	g4=1 g6=2 0
11aa.[ 190] x08000184 jmp	184
11ab.[ 184] x00A61820 add	g3=2 g5=0 g6=1
11ac.[ 185] xA8640001 srli	g3=1 g4=1 1
11ad.[ 186] x00874818 mul	g9=10000000 g4=0 g7=10000000
11ae.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
11af.[ 188] x6B830003 jlt	g28=1 g3=1 3
11b0.[ 189] x20A30000 addi	g5=0 g3=1 0
11b1.[ 18a] xE0000000 return
11b2.[ 1af] x2021000C addi	g1=524232 g1=524232 12
11b3.[ 1b0] x3C800098 mvhi	g4=0 152
11b4.[ 1b1] x1C809680 mvlo	g4=9961472 -27008
11b5.[ 1b2] x00642018 mul	g4=10000000 g3=0 g4=10000000
11b6.[ 1b3] x8C280004 ldi	g1=524244 g8=260 4
11b7.[ 1b4] x01044022 sub	g8=260 g8=260 g4=0
11b8.[ 1b5] x68030009 jlt	g0=0 g3=0 9
11b9.[ 1b6] x49400003 jne	g10=0 g0=0 3
11ba.[ 1b7] x200B0000 addi	g0=0 g11=0 0
11bb.[ 1b8] x080001BD jmp	1bd
11bc.[ 1bd] x080001C2 jmp	1c2
11bd.[ 1c2] x3CE0000F mvhi	g7=10000000 15
11be.[ 1c3] x1CE04240 mvlo	g7=1021568 16960
11bf.[ 1c4] x20050000 addi	g0=0 g5=0 0
11c0.[ 1c5] x2006000A addi	g0=0 g6=1 10
11c1.[ 1c6] xAC280008 sti	g1=524244 g8=260 8
11c2.[ 1c7] x40210010 subi	g1=524244 g1=524244 16
11c3.[ 1c8] xC0000184 call	184
11c4.[ 184] x00A61820 add	g3=0 g5=0 g6=10
11c5.[ 185] xA8640001 srli	g3=10 g4=0 1
11c6.[ 186] x00874818 mul	g9=0 g4=5 g7=1000000
11c7.[ 187] x00C51822 sub	g3=10 g6=10 g5=0
11c8.[ 188] x6B830003 jlt	g28=1 g3=10 3
11c9.[ 18b] x69280006 jlt	g9=5000000 g8=260 6
11ca.[ 18c] x49280003 jne	g9=5000000 g8=260 3
11cb.[ 18f] x20860000 addi	g4=5 g6=10 0
11cc.[ 190] x08000184 jmp	184
11cd.[ 184] x00A61820 add	g3=10 g5=0 g6=5
11ce.[ 185] xA8640001 srli	g3=5 g4=5 1
11cf.[ 186] x00874818 mul	g9=5000000 g4=2 g7=1000000
11d0.[ 187] x00C51822 sub	g3=5 g6=5 g5=0
11d1.[ 188] x6B830003 jlt	g28=1 g3=5 3
11d2.[ 18b] x69280006 jlt	g9=2000000 g8=260 6
11d3.[ 18c] x49280003 jne	g9=2000000 g8=260 3
11d4.[ 18f] x20860000 addi	g4=2 g6=5 0
11d5.[ 190] x08000184 jmp	184
11d6.[ 184] x00A61820 add	g3=5 g5=0 g6=2
11d7.[ 185] xA8640001 srli	g3=2 g4=2 1
11d8.[ 186] x00874818 mul	g9=2000000 g4=1 g7=1000000
11d9.[ 187] x00C51822 sub	g3=2 g6=2 g5=0
11da.[ 188] x6B830003 jlt	g28=1 g3=2 3
11db.[ 18b] x69280006 jlt	g9=1000000 g8=260 6
11dc.[ 18c] x49280003 jne	g9=1000000 g8=260 3
11dd.[ 18f] x20860000 addi	g4=1 g6=2 0
11de.[ 190] x08000184 jmp	184
11df.[ 184] x00A61820 add	g3=2 g5=0 g6=1
11e0.[ 185] xA8640001 srli	g3=1 g4=1 1
11e1.[ 186] x00874818 mul	g9=1000000 g4=0 g7=1000000
11e2.[ 187] x00C51822 sub	g3=1 g6=1 g5=0
11e3.[ 188] x6B830003 jlt	g28=1 g3=1 3
11e4.[ 189] x20A30000 addi	g5=0 g3=1 0
11e5.[ 18a] xE0000000 return
11e6.[ 1c9] x20210010 addi	g1=524228 g1=524228 16
11e7.[ 1ca] x3C80000F mvhi	g4=0 15
11e8.[ 1cb] x1C804240 mvlo	g4=983040 16960
11e9.[ 1cc] x00642018 mul	g4=1000000 g3=0 g4=1000000
11ea.[ 1cd] x8C280008 ldi	g1=524244 g8=260 8
11eb.[ 1ce] x01044022 sub	g8=260 g8=260 g4=0
11ec.[ 1cf] x68030009 jlt	g0=0 g3=0 9
11ed.[ 1d0] x49600003 jne	g11=0 g0=0 3
11ee.[ 1d1] x200A0000 addi	g0=0 g10=0 0
11ef.[ 1d2] x080001D7 jmp	1d7
11f0.[ 1d7] x080001DC jmp	1dc
11f1.[ 1dc] x3CE00001 mvhi	g7=1000000 1
11f2.[ 1dd] x1CE086A0 mvlo	g7=82496 -31072
11f3.[ 1de] x20050000 addi	g0=0 g5=0 0
11f4.[ 1df] x2006000A addi	g0=0 g6=1 10
11f5.[ 1e0] xAC28000C sti	g1=524244 g8=260 12
11f6.[ 1e1] x40210014 subi	g1=524244 g1=524244 20
11f7.[ 1e2] xC0000184 call	184
11f8.[ 184] x00A61820 add	g3=0 g5=0 g6=10
11f9.[ 185] xA8640001 srli	g3=10 g4=0 1
